gf85bi501,gf85bi5010,gf85bi5011,gf85bi5012,gf85bi5013,gf85bi5014,gf85bi5015,gf85bi5016,gf85bi5017,gf85bi5018,gf85bi5019,gf85bi502,gf85bi503,gf85bi504,gf85bi505,gf85bi506,gf85bi507,gf85bi508,gf85bi509
127,257,-19,1089,137,31,34,365,138,359,138,116,28,10757,330,-81,411,184,-19
127,257,-19,1090,137,31,34,365,139,359,139,116,28,10746,330,-81,411,184,-19
127,257,-19,1090,137,31,34,365,139,359,139,116,28,10746,330,-81,411,184,-19
127,257,-19,1095,136,32,34,367,141,357,141,116,28,10727,330,-80,410,184,-19
127,257,-19,1091,137,31,34,365,139,359,139,115,28,10752,329,-80,409,183,-19
126,257,-20,1091,137,31,34,365,139,359,139,115,27,10773,329,-82,411,183,-20
126,257,-20,1091,137,31,34,365,139,359,139,115,27,10773,329,-82,411,183,-20
127,257,-19,1091,137,31,34,365,139,359,139,115,28,10752,329,-80,409,183,-19
128,258,-18,1096,135,33,33,365,144,356,144,117,28,10757,331,-79,410,186,-18
126,256,-21,1093,135,31,34,363,139,359,139,114,27,10755,328,-81,409,183,-21
126,256,-20,1093,135,31,34,363,139,359,139,114,27,10728,328,-80,408,182,-20
126,256,-20,1093,135,31,34,363,139,359,139,114,27,10728,328,-80,408,182,-20
126,256,-20,1093,135,31,34,363,139,359,139,114,27,10728,328,-80,408,182,-20
126,256,-20,1093,135,31,34,363,139,359,139,114,27,10728,328,-80,408,182,-20
124,254,-22,1083,134,32,34,359,138,358,138,114,27,10743,326,-82,408,180,-22
129,259,-17,1101,134,33,33,368,145,355,145,117,28,10739,332,-78,410,187,-17
126,256,-20,1093,135,31,34,363,139,359,139,114,27,10730,328,-80,408,182,-20
129,259,-17,1101,134,33,33,368,145,355,145,117,28,10739,332,-78,410,187,-17
130,260,-16,1101,134,33,33,368,145,355,145,117,28,10739,333,-77,410,187,-16
130,260,-16,1101,134,33,33,368,145,355,145,117,28,10739,333,-77,410,187,-16
126,257,-20,1089,134,31,34,361,139,357,139,114,27,10741,328,-80,408,182,-20
129,260,-16,1099,134,33,33,366,145,355,145,117,28,10732,333,-77,410,186,-16
123,252,-22,1066,131,31,35,357,136,357,136,112,27,10675,325,-82,407,252,-22
129,259,-17,1099,134,33,33,366,145,355,145,116,28,10745,333,-78,411,187,-17
122,252,-23,1066,131,31,34,358,136,358,136,112,27,10685,324,-83,407,252,-23
123,253,-23,1066,131,31,35,357,136,357,136,112,27,10699,325,-82,407,253,-23
122,252,-23,1064,129,31,34,356,136,356,136,111,27,10667,324,-83,407,252,-23
122,252,-23,1066,131,31,34,358,136,358,136,112,27,10688,324,-83,407,252,-23
122,252,-23,1066,131,31,34,358,136,358,136,112,27,10688,324,-83,407,252,-23
122,252,-23,1066,131,31,34,358,136,358,136,112,27,10692,324,-83,407,252,-23
124,254,-22,1069,132,31,34,356,136,356,136,112,27,10706,325,-82,407,254,-22
130,261,-17,1103,133,34,33,366,147,353,147,117,28,10797,334,-78,412,187,-17
130,261,-17,1103,133,34,33,366,147,353,147,117,28,10797,334,-78,412,187,-17
130,261,-17,1103,133,34,33,366,147,353,147,117,28,10797,334,-78,412,187,-17
124,254,-21,1069,132,31,34,356,136,356,136,112,27,10697,325,-82,407,254,-21
124,254,-21,1069,132,31,34,356,136,356,136,112,27,10697,325,-82,407,254,-21
124,254,-21,1069,132,31,34,356,136,356,136,112,27,10697,325,-82,407,254,-21
122,252,-23,1066,131,31,34,358,136,358,136,112,27,10688,324,-83,407,252,-23
131,260,-16,1104,133,34,32,367,147,349,147,117,28,10742,334,-77,411,188,-16
130,261,-17,1103,133,34,33,366,147,353,147,117,28,10797,334,-78,412,187,-17
123,253,-23,1066,131,31,35,357,136,357,136,112,27,10699,325,-82,407,253,-23
129,259,-17,1097,134,32,33,364,143,357,143,115,28,10728,331,-78,409,185,-17
130,260,-16,1096,134,33,33,364,145,355,145,117,28,10734,333,-77,410,187,-16
130,260,-16,1096,134,33,33,364,145,355,145,117,28,10734,333,-77,410,187,-16
129,259,-17,1097,134,32,33,364,143,357,143,115,28,10728,331,-78,409,185,-17
123,252,-23,1065,131,31,34,357,136,357,136,112,27,10686,324,-82,406,252,-23
122,252,-23,1063,129,31,34,356,136,356,136,111,27,10684,324,-83,407,252,-23
128,258,-17,1097,134,32,33,364,143,357,143,115,28,10719,331,-78,409,185,-17
130,260,-16,1101,132,34,33,365,147,351,147,117,28,10751,334,-77,411,187,-16
122,252,-22,1066,131,31,35,357,136,357,136,112,27,10669,324,-82,406,252,-22
129,259,-17,1097,134,32,33,364,143,357,143,115,28,10728,331,-78,409,185,-17
123,253,-22,1071,132,31,34,357,137,357,137,112,27,10681,324,-82,406,253,-22
122,252,-23,1061,129,31,34,356,135,356,135,111,27,10678,324,-83,407,252,-23
129,259,-17,1097,134,32,33,364,143,357,143,115,28,10728,331,-78,409,185,-17
122,252,-23,1061,129,31,34,356,135,356,135,111,27,10678,324,-83,407,252,-23
122,252,-23,1061,129,31,34,356,135,356,135,111,27,10674,324,-83,407,252,-23
124,254,-21,1071,132,31,34,356,137,356,137,112,27,10702,325,-81,406,254,-21
127,257,-19,1094,134,32,33,362,141,358,141,114,28,10726,328,-79,407,183,-19
123,252,-22,1066,131,31,35,357,136,357,136,112,27,10658,324,-82,406,252,-22
122,252,-22,1066,131,31,35,357,136,357,136,112,27,10651,324,-82,406,252,-22
124,254,-21,1073,132,31,34,356,137,356,137,112,27,10702,325,-81,406,254,-21
124,254,-21,1073,132,31,34,356,137,356,137,112,27,10702,325,-81,406,254,-21
130,260,-16,1102,132,34,33,365,147,352,147,117,28,10751,334,-77,411,187,-16
130,260,-17,1102,132,34,33,365,147,352,147,117,28,10786,333,-78,411,188,-17
122,252,-23,1061,129,31,34,356,135,356,135,111,27,10669,324,-83,407,252,-23
126,256,-19,1087,134,31,34,361,140,357,140,113,27,10717,328,-79,407,182,-19
122,252,-23,1063,129,31,34,356,136,356,136,111,27,10672,324,-82,406,252,-23
122,252,-22,1063,129,31,34,355,136,355,136,112,27,10647,324,-82,406,252,-22
122,252,-22,1063,129,31,34,355,136,355,136,112,27,10647,324,-82,406,252,-22
127,257,-19,1096,134,32,33,362,142,358,142,113,27,10733,328,-78,406,183,-19
124,254,-21,1077,133,31,34,358,137,358,137,112,27,10699,325,-81,406,254,-21
124,254,-21,1077,133,31,34,358,137,358,137,112,27,10699,325,-81,406,254,-21
131,261,-16,1101,133,34,33,366,147,349,147,117,28,10767,334,-77,411,188,-16
124,253,-22,1091,134,32,34,360,139,360,139,112,27,10707,324,-82,406,180,-22
130,260,-16,1101,132,33,33,363,146,355,146,116,28,10748,333,-77,410,187,-16
122,251,-23,1064,129,31,34,356,137,356,137,111,27,10671,323,-82,405,251,-23
131,261,-16,1101,132,34,32,365,148,351,148,117,28,10781,334,-77,411,188,-16
124,253,-21,1073,132,31,34,357,137,357,137,112,27,10667,324,-81,405,253,-21
124,253,-21,1075,132,31,34,357,137,357,137,112,27,10672,324,-81,405,253,-21
122,251,-23,1064,129,31,34,356,137,356,137,111,27,10671,323,-82,405,251,-23
122,252,-22,1063,129,31,34,356,136,356,136,111,27,10666,323,-82,405,252,-22
126,255,-20,1089,134,31,34,360,140,359,140,113,27,10701,326,-80,406,181,-20
123,253,-23,1077,132,31,34,359,137,359,137,111,27,10710,324,-82,406,253,-23
123,253,-23,1077,132,31,34,359,137,359,137,111,27,10710,324,-82,406,253,-23
123,253,-23,1077,132,31,34,359,137,359,137,111,27,10710,324,-82,406,253,-23
122,251,-23,1062,129,31,34,356,137,356,137,111,27,10646,323,-82,405,251,-23
122,251,-23,1063,129,31,34,356,136,356,136,111,27,10665,323,-82,405,251,-23
122,251,-23,1063,129,31,34,356,136,356,136,111,27,10665,323,-82,405,251,-23
121,250,-24,1063,129,31,34,356,137,356,137,110,27,10651,322,-83,405,250,-24
121,250,-24,1063,129,31,34,356,137,356,137,110,27,10651,322,-83,405,250,-24
130,260,-16,1103,132,34,33,364,148,353,148,116,28,10766,333,-78,411,187,-16
123,252,-22,1079,132,32,34,360,138,360,138,111,27,10677,323,-82,405,252,-22
123,252,-22,1079,132,32,34,360,138,360,138,111,27,10677,323,-82,405,252,-22
124,253,-21,1074,132,31,34,358,137,358,137,111,27,10665,323,-81,404,253,-21
124,253,-21,1074,132,31,34,358,137,358,137,111,27,10665,323,-81,404,253,-21
124,253,-21,1074,132,31,34,358,137,358,137,111,27,10665,323,-81,404,253,-21
124,253,-21,1074,132,31,34,358,137,358,137,111,27,10665,323,-81,404,253,-21
124,253,-21,1074,132,31,34,358,137,358,137,111,27,10665,323,-81,404,253,-21
122,252,-23,1066,129,31,34,356,137,356,137,110,27,10674,323,-81,404,252,-23
122,251,-23,1072,131,31,34,358,137,358,137,111,27,10648,322,-82,404,251,-23
122,252,-23,1066,129,31,34,356,137,356,137,110,27,10674,323,-81,404,252,-23
122,252,-23,1066,129,31,34,356,137,356,137,110,27,10674,323,-81,404,252,-23
122,251,-23,1072,131,31,34,358,137,358,137,111,27,10648,322,-82,404,251,-23
121,251,-23,1059,128,31,34,355,135,355,135,110,27,10633,322,-82,404,251,-23
121,251,-23,1059,128,31,34,355,135,355,135,110,27,10633,322,-82,404,251,-23
122,252,-23,1066,129,31,34,356,137,356,137,110,27,10674,323,-81,404,252,-23
122,252,-23,1066,129,31,34,356,137,356,137,110,27,10674,323,-81,404,252,-23
122,252,-23,1066,129,31,34,356,137,356,137,110,27,10674,323,-81,404,252,-23
122,251,-23,1072,131,31,34,358,137,358,137,111,27,10648,322,-82,404,251,-23
127,257,-18,1095,133,32,33,360,144,357,144,113,27,10717,329,-79,408,183,-18
127,257,-18,1095,133,32,33,360,144,357,144,113,27,10717,329,-79,408,183,-18
127,257,-18,1095,133,32,33,360,144,357,144,113,27,10717,329,-79,408,183,-18
